date,hog_hk_muyuan_open,hog_hk_muyuan_high,hog_hk_muyuan_low,hog_hk_muyuan_close,hog_hk_muyuan_volume,hog_hk_muyuan_amount,hog_hk_muyuan_amplitude,hog_hk_muyuan_pct_chg,hog_hk_muyuan_turnover,hog_hk_muyuan_close_ret1,hog_hk_muyuan_close_ret5,hog_hk_muyuan_close_ret20,hog_hk_muyuan_close_ma20_gap,hog_hk_muyuan_close_z20,hog_hk_muyuan_volume_ret1,hog_hk_muyuan_volume_ret5,hog_hk_muyuan_volume_ret20,hog_hk_muyuan_volume_ma20_gap,hog_hk_muyuan_volume_z20,hog_hk_muyuan_amount_ret1,hog_hk_muyuan_amount_ret5,hog_hk_muyuan_amount_ret20,hog_hk_muyuan_amount_ma20_gap,hog_hk_muyuan_amount_z20
2026-04-23,40.28,40.76,39.06,39.58,2391202.0,94891523.0,,,,-0.01099450274862579,-0.08039033457249067,-0.04303675048355904,-0.03258133111724881,-0.8762452065794593,-0.5571159217359738,0.45423706136349806,-0.5339968429053066,-0.23510019644844582,-0.49742834496735017,-0.5696309934583645,0.3492468489605598,-0.5559366641539203,-0.25640479171988795,-0.5569187019367204
2026-04-24,39.82,40.0,39.1,39.12,1581400.0,62476776.0,,,,-0.011622031328954008,-0.06232023010546506,-0.07996237064910638,-0.04174015285126398,-1.102477523277861,-0.3386589673310745,-0.4930614102855897,-0.5480552141979367,-0.4709548385318304,-1.0004162216080545,-0.3415979212389709,-0.5184289663953368,-0.5734477251543639,-0.48651441472571944,-1.0664349910608164
2026-04-27,39.12,39.2,38.76,39.0,2434000.0,94908568.0,,,,-0.0030674846625766694,-0.035608308605341144,-0.08235294117647063,-0.040684803463373775,-1.0766805427888597,0.5391425319337295,-0.26452369297339107,0.42314213880605744,-0.15873845054000757,-0.31990764489737,0.5191015618347528,-0.299765829336229,0.2982748865992919,-0.19207701602080118,-0.39796862034644104
2026-04-28,39.0,40.8,38.76,40.8,4370200.0,174707861.0,,,,0.04615384615384599,-0.04315196998123838,0.0034431874077718305,0.007930037797376333,0.21201564487894548,0.795480690221857,0.18719947841677764,0.7714633157681394,0.49181138850630024,1.0194855722797393,0.840801780930885,0.12500957293705506,0.7261351703195886,0.4735501986464199,1.002512815248938
2026-04-29,41.4,43.4,40.82,41.82,4357452.0,182816919.0,,,,0.025000000000000133,0.044977511244377766,0.010633156114064679,0.0329496616114211,0.8803866972572953,-0.002917028968925872,-0.19293890160691662,0.5357741514820429,0.4406615471675308,0.9229104891981093,0.04641495782493732,-0.17085601198504707,0.5571441811283055,0.4955906347806798,1.0589993069976882
2026-04-30,41.86,42.28,40.84,41.46,2856873.0,118690843.0,,,,-0.008608321377331363,0.04749873673572513,0.06635802469135799,0.023501530561864437,0.6214066887756886,-0.34437074694110226,0.1947434804755097,-0.613640829579902,-0.0786142438831069,-0.1654257736026164,-0.35076663774210093,0.25080554350466056,-0.5900978192885735,-0.054315419250682395,-0.11600955532739986
2026-05-04,41.0,41.72,40.46,41.06,1017502.0,41511081.0,,,,-0.009647853352628966,0.049591002044989896,0.08566895822316245,0.010409232965031823,0.28277158043285533,-0.6438406607504079,-0.3565815100543822,-0.6703486036415474,-0.645932663380093,-1.73110911965735,-0.6502587735432969,-0.3355758146034936,-0.6473476429210494,-0.6450965988023183,-1.7033686215696575
2026-05-05,41.06,41.32,40.5,40.88,371312.0,15152882.0,,,,-0.004383828543594759,0.048205128205128345,0.06071613907628448,0.0019853427780094357,0.060342454889123064,-0.6350749187716584,-0.8474478225143796,-0.8822428009640999,-0.8659667611920003,-2.090024702896097,-0.6349677812533959,-0.8403423176714667,-0.8753239397737781,-0.8660867347878727,-2.067654829876374
2026-05-06,41.0,41.98,39.52,41.34,8213000.0,332867726.0,,,,0.011252446183953158,0.013235294117647234,0.028358208955223896,0.010362694300518172,0.3439970908195548,21.118864997630027,0.8793190243009472,1.7033343207926008,2.1213853280447523,4.423418879516,20.96728820299663,0.9052819037146818,1.741772844063028,2.086819007002694,4.315971911702904
2026-05-07,41.34,43.94,41.32,43.94,4222100.0,180045301.0,,,,0.06289308176100605,0.050693448110951556,0.0876237623762377,0.0724135406243136,2.4239312198464726,-0.4859247534396688,-0.031062189554813213,0.6993761320185148,0.4609602904688439,0.7502308508566813,-0.4591085679480984,-0.015160620883234555,0.7781291848666305,0.5205465548223251,0.8501534613045405
2026-05-08,43.9,43.9,41.56,41.78,2580236.0,108266965.0,,,,-0.04915794264906681,0.0077182826821031725,0.05345436207766019,0.01530984204131225,0.455691300856171,-0.38887378318846066,-0.09683209579144747,2.1203724755109445,-0.1332265194316703,-0.2206782948720988,-0.39866819962160527,-0.08782377592515711,2.268361691927974,-0.11508837305674202,-0.19118167164898206
2026-05-11,41.9,42.5,41.1,41.3,3207517.0,134343826.0,,,,-0.01148875059837251,0.005845104724792938,0.029925187032418865,0.001066511537715753,0.032763261307841914,0.2431099325798105,2.1523446636959926,1.1650469119136009,0.04667055615976956,0.08275766454050311,0.2408570425891221,2.2363364856723438,1.2760359217837136,0.06533449016080772,0.11650376532767091
