code,code_name,ipoDate,outDate,type,status,code6,baostock_code,name,list_date,out_date,board
sz.300177,中海达,2011-02-15,,1,1,300177,sz.300177,中海达,2011-02-15,,chinext
sz.300178,腾邦退,2011-02-15,2022-06-22,1,0,300178,sz.300178,腾邦退,2011-02-15,2022-06-22,chinext
sz.300179,四方达,2011-02-15,,1,1,300179,sz.300179,四方达,2011-02-15,,chinext
sz.300180,华峰超纤,2011-02-22,,1,1,300180,sz.300180,华峰超纤,2011-02-22,,chinext
sz.300181,佐力药业,2011-02-22,,1,1,300181,sz.300181,佐力药业,2011-02-22,,chinext
sz.300182,捷成股份,2011-02-22,,1,1,300182,sz.300182,捷成股份,2011-02-22,,chinext
sz.300183,东软载波,2011-02-22,,1,1,300183,sz.300183,东软载波,2011-02-22,,chinext
sz.300184,力源信息,2011-02-22,,1,1,300184,sz.300184,力源信息,2011-02-22,,chinext
sz.300185,通裕重工,2011-03-08,,1,1,300185,sz.300185,通裕重工,2011-03-08,,chinext
sz.300186,大华农,2011-03-08,2015-11-02,1,0,300186,sz.300186,大华农,2011-03-08,2015-11-02,chinext
sz.300187,永清环保,2011-03-08,,1,1,300187,sz.300187,永清环保,2011-03-08,,chinext
sz.300188,国投智能,2011-03-16,,1,1,300188,sz.300188,国投智能,2011-03-16,,chinext
sz.300189,神农种业,2011-03-16,,1,1,300189,sz.300189,神农种业,2011-03-16,,chinext
sz.300190,维尔利,2011-03-16,,1,1,300190,sz.300190,维尔利,2011-03-16,,chinext
sz.300191,潜能恒信,2011-03-16,,1,1,300191,sz.300191,潜能恒信,2011-03-16,,chinext
sz.300192,科德教育,2011-03-22,,1,1,300192,sz.300192,科德教育,2011-03-22,,chinext
sz.300193,佳士科技,2011-03-22,,1,1,300193,sz.300193,佳士科技,2011-03-22,,chinext
sz.300194,福安药业,2011-03-22,,1,1,300194,sz.300194,福安药业,2011-03-22,,chinext
sz.300195,长荣股份,2011-03-29,,1,1,300195,sz.300195,长荣股份,2011-03-29,,chinext
sz.300196,长海股份,2011-03-29,,1,1,300196,sz.300196,长海股份,2011-03-29,,chinext
sz.300197,节能铁汉,2011-03-29,,1,1,300197,sz.300197,节能铁汉,2011-03-29,,chinext
sz.300198,*ST纳川,2011-04-07,,1,1,300198,sz.300198,*ST纳川,2011-04-07,,chinext
sz.300199,翰宇药业,2011-04-07,,1,1,300199,sz.300199,翰宇药业,2011-04-07,,chinext
sz.300200,高盟新材,2011-04-07,,1,1,300200,sz.300200,高盟新材,2011-04-07,,chinext
sz.300201,海伦哲,2011-04-07,,1,1,300201,sz.300201,海伦哲,2011-04-07,,chinext
sz.300202,聚龙退,2011-04-15,2022-07-04,1,0,300202,sz.300202,聚龙退,2011-04-15,2022-07-04,chinext
